    t              u1             u2
0.510444       0.536738     -0.0613127
0.511104       0.537392     -0.0603788
0.511765       0.538046     -0.0594448
0.512424       0.538698     -0.0585108
0.513083       0.539349     -0.0575767
0.513742           0.54     -0.0566426
0.5144        0.54065     -0.0557084
0.515058       0.541298     -0.0547742
0.515715       0.541946     -0.0538399
0.516372       0.542594     -0.0529055
0.517028        0.54324     -0.0519712
0.517683       0.543885     -0.0510367
0.518339        0.54453     -0.0501022
0.518993       0.545173     -0.0491677
0.519647       0.545816     -0.0482331
0.520301       0.546458     -0.0472985
0.520954       0.547099     -0.0463638
0.521607       0.547739     -0.0454291
0.522259       0.548378     -0.0444943
0.522911       0.549017     -0.0435595
0.523563       0.549654     -0.0426246
0.524213       0.550291     -0.0416897
0.524864       0.550927     -0.0407548
0.525514       0.551562     -0.0398198
0.526163       0.552197     -0.0388847
0.526812        0.55283     -0.0379496
0.527461       0.553463     -0.0370145
0.528109       0.554094     -0.0360793
0.528757       0.554725      -0.035144
0.529404       0.555355     -0.0342088
0.530051       0.555985     -0.0332734
0.530697       0.556613     -0.0323381
0.531343       0.557241     -0.0314027
0.531988       0.557868     -0.0304672
0.532633       0.558494     -0.0295317
0.533278       0.559119     -0.0285962
0.533922       0.559743     -0.0276606
0.534566       0.560367      -0.026725
0.535209       0.560989     -0.0257893
0.535852       0.561611     -0.0248536
0.536495       0.562232     -0.0239178
0.537137       0.562853      -0.022982
0.537778       0.563472     -0.0220462
0.53842       0.564091     -0.0211103
0.53906       0.564709     -0.0201744
0.539701       0.565326     -0.0192385
0.540341       0.565943     -0.0183025
0.54098       0.566558     -0.0173664
0.54162       0.567173     -0.0164303
0.542258       0.567787     -0.0154942
0.542897         0.5684     -0.0145581
0.543535       0.569012     -0.0136219
0.544172       0.569624     -0.0126856
0.54481       0.570235     -0.0117493
0.545446       0.570845      -0.010813
0.546083       0.571454    -0.00987668
0.546719       0.572063    -0.00894028
0.547355        0.57267    -0.00800385
0.54799       0.573277    -0.00706738
0.548625       0.573884    -0.00613088
0.549259       0.574489    -0.00519433
0.549894       0.575094    -0.00425775
0.550527       0.575698    -0.00332113
0.551161       0.576301    -0.00238447
0.551794       0.576903    -0.00144778
0.552427       0.577505   -0.000511053
0.553059       0.578106    0.000425712
0.553691       0.578706     0.00136251
0.554323       0.579305     0.00229935
0.554954       0.579904     0.00323622
0.555585       0.580502     0.00417313
0.556215       0.581099     0.00511007
0.556846       0.581695     0.00604705
0.557476       0.582291     0.00698407
0.558105       0.582885     0.00792111
0.558734        0.58348      0.0088582
0.559363       0.584073     0.00979531
0.559992       0.584666      0.0107325
0.56062       0.585257      0.0116696
0.561248       0.585849      0.0126069
0.561875       0.586439      0.0135441
0.562502       0.587029      0.0144814
0.563129       0.587618      0.0154187
0.563756       0.588206      0.0163561
0.564382       0.588793      0.0172935
0.565008        0.58938      0.0182309
0.565633       0.589966      0.0191683
0.566258       0.590552      0.0201058
0.566883       0.591136      0.0210433
0.567508        0.59172      0.0219808
0.568132       0.592303      0.0229184
0.568756       0.592886       0.023856
0.56938       0.593467      0.0247937
0.570003       0.594048      0.0257313
0.570626       0.594629       0.026669
0.571249       0.595208      0.0276068
0.571871       0.595787      0.0285445
0.572493       0.596365      0.0294823
0.573115       0.596943      0.0304201
0.573736       0.597519       0.031358
0.574358       0.598095      0.0322959
0.574978       0.598671      0.0332338
0.575599       0.599245      0.0341717
0.576219       0.599819      0.0351097
0.576839       0.600393      0.0360477
0.577459       0.600965      0.0369857
0.578079       0.601537      0.0379238
0.578698       0.602108      0.0388618
0.579317       0.602679         0.0398
0.579935       0.603248      0.0407381
0.580554       0.603817      0.0416763
